#options: 4320x7680 fps=120/1 timebase=1/120 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=13500 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:66 out:66 type:B dur:8 cpbdur:8 q:40.07 aq:33.94 tex:112778 mv:204222 misc:72136 imb:7165 pmb:15577 smb:106858 d:- ref:0 ;
in:65 out:67 type:b dur:8 cpbdur:8 q:40.08 aq:35.08 tex:50912 mv:125372 misc:52084 imb:3459 pmb:10531 smb:115610 d:- ref:0 ;
in:67 out:68 type:b dur:8 cpbdur:8 q:40.07 aq:35.34 tex:57277 mv:132423 misc:54044 imb:3438 pmb:11510 smb:114652 d:- ref:0 ;
in:72 out:69 type:P dur:8 cpbdur:8 q:39.98 aq:33.18 tex:312151 mv:267655 misc:88674 imb:33493 pmb:8962 smb:87145 d:- ref:0 ;
in:70 out:70 type:B dur:8 cpbdur:8 q:40.02 aq:33.55 tex:122062 mv:222036 misc:76390 imb:7505 pmb:16727 smb:105368 d:- ref:0 ;
in:69 out:71 type:b dur:8 cpbdur:8 q:40.04 aq:34.50 tex:62283 mv:146384 misc:57853 imb:4496 pmb:11637 smb:113467 d:- ref:0 ;
in:71 out:72 type:b dur:8 cpbdur:8 q:40.00 aq:35.05 tex:48478 mv:105056 misc:47634 imb:2404 pmb:9293 smb:117903 d:- ref:0 ;
in:76 out:73 type:P dur:8 cpbdur:8 q:39.80 aq:32.84 tex:331529 mv:281947 misc:92260 imb:39244 pmb:8806 smb:81550 d:- ref:0 ;
in:74 out:74 type:B dur:8 cpbdur:8 q:39.89 aq:33.09 tex:126165 mv:233700 misc:79399 imb:8791 pmb:15860 smb:104949 d:- ref:0 ;
in:73 out:75 type:b dur:8 cpbdur:8 q:39.93 aq:34.44 tex:55565 mv:126079 misc:54284 imb:3212 pmb:10818 smb:115570 d:- ref:0 ;
in:75 out:76 type:b dur:8 cpbdur:8 q:39.84 aq:35.01 tex:54941 mv:115953 misc:49666 imb:3459 pmb:9227 smb:116914 d:- ref:0 ;
in:80 out:77 type:P dur:8 cpbdur:8 q:39.55 aq:32.49 tex:371411 mv:295229 misc:85248 imb:44084 pmb:8374 smb:77142 d:- ref:0 ;
in:78 out:78 type:B dur:8 cpbdur:8 q:39.67 aq:32.64 tex:150736 mv:256612 misc:78876 imb:11875 pmb:15652 smb:102073 d:- ref:0 ;
in:77 out:79 type:b dur:8 cpbdur:8 q:39.74 aq:34.02 tex:60541 mv:125004 misc:51063 imb:4417 pmb:9303 smb:115880 d:- ref:0 ;
in:79 out:80 type:b dur:8 cpbdur:8 q:39.61 aq:34.15 tex:77909 mv:152360 misc:55291 imb:6029 pmb:10516 smb:113055 d:- ref:0 ;
in:84 out:81 type:P dur:8 cpbdur:8 q:39.40 aq:32.11 tex:413323 mv:316485 misc:78448 imb:52432 pmb:7661 smb:69507 d:- ref:0 ;
in:82 out:82 type:B dur:8 cpbdur:8 q:39.47 aq:32.26 tex:205283 mv:331659 misc:85746 imb:17622 pmb:17531 smb:94447 d:- ref:0 ;
